property_id,address,city,zip_code,property_type,listing_type,sqft,price,year_built,agent_id,listed_date,is_available
200,732 Jackson Course,la,80579,Town House,Rental,,"$1,634.14",2030.0,17,2026-01-29,1
211,294 Estrada Motorway Apt. 070,sf,59333,CONDO,RENTAL,,6381.83,1850.0,24,12/14/2024,false
212,29493 Scott Centers Suite 481,SACRAMENTO,11422,Single Family,for sale,,1168106.73,2030.0,29,24-10-2025,true
215,55322 Pamela Hill Suite 798,la,48042,Single Family,sale,,1457315.04,1990.0,3,2024-08-25,1
222,02221 Williams Radial Apt. 459,Long Beach,24987,Condo,sale,,"$324,562.26",2030.0,21,24-08-2025,1
224,385 Amy Points Apt. 462,SAN JOSE,08484,CONDO,Rent,,"$1,706.68",2030.0,16,09/20/2025,False
230,73597 Brittany Lock,SAN FRANCISCO,02648,townhouse,SALE,,"$2,311,749.55",1850.0,1,2025-09-04,False
237,475 Elizabeth Turnpike,sacramento,21801,condo,Rent,,2387.51,1933.0,17,04-07-2024,1
262,4880 Mark Pine Suite 325,sf,99162,Town House,rent,,"$3,341",1906.0,24,12/11/2024,0
272,4480 Ross Parks Apt. 317,Oakland,50226,studio,Sale,,2446792.03,1949.0,49,2026-05-18,True
276,0278 Jodi Stream Apt. 256,LOS ANGELES,72110,SINGLE FAMILY,For Sale,,1569561.86,,12,23-10-2025,False
277,0794 Dominguez Shoals,san jose,63768,Townhouse,RENT,,7958.68,1998.0,45,25-10-2025,True
286,19794 Dean Isle,SAN DIEGO,29454,condo,For Sale,,"$724,980.82",1966.0,42,28-04-2026,True
305,70370 Cordova Ford,Bakersfield,98966,condo,sale,,2293053.99,1850.0,25,04/13/2025,False
306,01822 Evan Stravenue Suite 335,SACRAMENTO,20654,Townhouse,Sale,,2450848.71,2015.0,11,06/14/2025,false
307,5793 Ann Wall Apt. 151,Oakland,93842,Studio,Sale,,1338126.45,2030.0,1,25-11-2025,True
321,508 Taylor Underpass,anaheim,09157,Multi-Family,sale,,"$663,539.32",1989.0,37,14-11-2024,1
325,31745 Stone Fork,Sacramento,50905,Multi-Family,rent,,"$1,566",1968.0,10,07-03-2026,False
326,71054 Kelly Mountain Suite 859,san diego,99385,Single-Family,Rent,,"$7,212.81",2030.0,25,04/14/2026,false
329,8762 Bobby Forest,Bakersfield,34730,Multi-Family,Rental,,5127.01,2030.0,23,2025-01-16,False
339,3183 Brianna Road Apt. 477,SACRAMENTO,79348,Single Family,SALE,,682381.03,2030.0,12,07/28/2024,False
340,705 Lowe Circles Apt. 338,Long Beach,51869,studio,for rent,,2960.31,,41,06-08-2024,True
343,7003 Robinson Highway,la,95189,Town House,SALE,,"$2,989,261",1910.0,15,09/07/2024,True
345,2914 Jason Circles,fresno,73933,Condo,For Rent,,"$2,288",1925.0,38,2025-03-26,False
349,1927 Jason Place,FRESNO,71759,Condominium,SALE,,"$1,450,405",,35,03/23/2026,false
372,05807 Lisa Station Suite 924,San Jose,53105,Condo,SALE,,"$1,840,070",2030.0,42,2025-09-22,False
378,78511 Dakota Fork Apt. 332,Long Beach,44366,multi-family,For Sale,,1908299.72,2020.0,12,12-08-2025,True
405,42097 Armstrong Plains,Fresno,27712,multi-family,Rental,,"$3,202",1951.0,11,11/12/2024,1
406,1310 Hayes Pass Suite 258,Fresno,49157,TOWNHOUSE,rent,,"$4,545.93",2012.0,12,10/15/2024,False
415,8361 Kirk Brooks Suite 902,Long Beach,49990,Multi-Family,For Rent,,"$2,394",1959.0,23,11/07/2024,True
422,97239 Kenneth Shoal Apt. 157,SAN DIEGO,29171,Town House,Rent,,1386.58,,28,2025-09-01,true
428,53526 Hill Islands,fresno,64132,townhouse,Rental,,"$5,384.76",2030.0,44,2025-06-16,False
431,915 Grace Causeway,long beach,29822,Single Family,Sale,,"$981,576",1999.0,15,2026-03-16,True
435,63652 Howell Isle Suite 866,ANAHEIM,02387,Town House,SALE,,980839.99,,40,15-06-2026,false
439,122 Aguilar Meadow,LONG BEACH,83256,townhouse,RENTAL,,6355.28,1850.0,41,09/11/2024,1
442,69844 Jackson Bridge Apt. 517,Oakland,99128,Studio,for sale,,1855950.77,1922.0,48,05/17/2025,false
443,346 Young Mission,SAN JOSE,02755,CONDO,For Sale,,"$1,249,428.60",1953.0,3,2025-01-20,False
445,3514 Simmons Cliffs,FRESNO,07775,Single Family,Rental,,1390.36,1960.0,21,12/20/2025,1
449,1729 Elizabeth Parkway,los angeles,12942,Studio,RENT,,"$5,676.49",1850.0,31,31-12-2025,False
452,3945 Stevens Vista Apt. 711,San Francisco,40181,SINGLE FAMILY,For Sale,,1185763.25,2030.0,49,2024-08-06,False
453,2838 Anthony Grove,Oakland,87218,Multi-Family,For Sale,,1113053.31,1928.0,23,2024-12-31,True
469,992 Michelle Road,LONG BEACH,65138,Condo,for sale,,"$2,885,092.58",,24,07/18/2025,1
477,11082 Mcdonald Vista,sf,52453,single family,Sale,,1448868.06,1940.0,31,2024-12-10,true
478,101 Kevin Cove Apt. 640,LOS ANGELES,98238,Townhouse,For Rent,,"$1,916.68",1850.0,35,07/15/2024,0
492,7369 Kelly Coves Suite 279,Oakland,68821,SINGLE FAMILY,SALE,,"$1,464,650.21",,29,2025-08-11,1
498,538 Megan Valleys,fresno,13789,Single Family,RENTAL,,6754.59,1850.0,16,10/04/2025,false
500,764 Daniel Place Apt. 204,SAN DIEGO,92536,single family,SALE,,"$1,331,722",2030.0,8,09-05-2025,True
